,label,Unnamed: 0,message,datetime
3180,1,3180,@theastro @bjorgandstein @Goryhamilton1 Apple&39;s service revenue is enough to justify its valuation. I bet the farm on Apple growing its service revenue to 100B+ per year within the next 5 years. $MSFT is a POS compared to $AAPL when it comes to SALES and profit margin.,2020-07-15T03:41:25Z
3191,1,3191,$AAPL well ya 400 not that far for option playz,2020-07-15T02:50:23Z
3269,2,3269,$SPY $AAPL $TSLA $AMD Democrats created this corrupt HOAX flu so tank the markets and make Trump look BAD!,2020-07-14T23:55:39Z
3425,2,3425,$AAPL 400 by EOW,2020-07-14T20:24:02Z
3439,2,3439,"$ZOM $AAPL    My Apple FOLLOWERS sell 100 shares invest in rare opp 40X. NowTRUFORMA on U Tube $13,500 cost, 12 years to develop and goes to veterinary DR",2020-07-14T20:07:26Z
3462,1,3462,$AAPL the more the buy PUTS . the more it goes up and up,2020-07-14T19:56:11Z
3469,2,3469,$AAPL for the love of God shorts.stop shorting,2020-07-14T19:54:36Z
3473,1,3473,$AAPL holly mother of cow .  it’s crushing those puts so hard,2020-07-14T19:53:19Z
3502,2,3502,$AAPL set to end the week extremely strong but high volatility.  Be cautious but get those calls in now.,2020-07-14T19:32:07Z
3527,1,3527,$AAPL Skyrocket above 400 NOW.,2020-07-14T19:04:50Z
3528,2,3528,$AAPL Should make one last stand at 400,2020-07-14T19:01:49Z
3543,1,3543,$AAPL if this closes around 390 today then upward trend is in full motion to bust down 400. We were at 387.5 last time we rocketed to 399,2020-07-14T18:49:01Z
3588,2,3588,$AAPL  :fire: ,2020-07-14T18:15:30Z
3617,2,3617,"$LINK.X $TSLA $AAPL $BYND   If you’re interested in day trading Stocks and Options, You can check this community!stocktwits.weebly.com",2020-07-14T17:44:42Z
3666,1,3666,Apple $AAPL Topping Tail Alert: See The Downside Target Here.[URL],2020-07-14T16:35:10Z
3677,2,3677,Investing is Hard and Tesla Topped [URL] - have a plan.fresh on my blog$qqq $tsla $aapl,2020-07-14T16:23:02Z
3778,2,3778,"$AAPL This is my campaign to defeat Corona , We will start producing millions of masks N 95 that will have the American flag  :United_States:  on it and everyone that loves  :red_heart:  his country show that you were the  flag mask  :face_with_medical_mask:  in public to fight Corona .  :folded_hands:  :United_States:  :United_States: ",2020-07-14T14:44:17Z
3814,2,3814,$AAPL NEW ARTICLE : Apple asks retail employees to work remotely as pandemic rages on [URL],2020-07-14T14:23:13Z
3832,2,3832,"$AAPL what’s next support 375, 373, 365?",2020-07-14T14:14:27Z
3927,0,3927,$AAPL Apple worth $220 max. Losers overpaid.,2020-07-14T13:17:30Z
3947,2,3947,$AAPL reportedly announced that transitioning of Mac to its world-class custom silicon that will lead to a great performance and powerful technologies.,2020-07-14T12:58:21Z
3979,2,3979,$AAPL wow!,2020-07-14T12:04:14Z
3981,1,3981,"$AAPL Sentiment is highly positive right now. News mentions: positive (15), negative (0), neutral (17) Sentiment score: +1.234 (scale of -1.5 to +1.5) Stock alerts, news, and research tools at tradethehalt.com",2020-07-14T12:02:10Z
4092,2,4092,$NFLX $TSLA $ROKU $AAPL OMG BEARS LOOK  :smiling_face_with_sunglasses: [URL],2020-07-14T02:46:47Z
4147,2,4147,$AAPL $SPY $QQQ This chart I drew 2 weeks back and that time I did not discover the new resistance of 425. But since I know now that 425 must hit I think this resistance would serve as a minor resistance where There is a very high probability that AAPL would not drop beyond 365 in this pullback. Will be keeping close eye on it and see what it does at 350-360 range.,2020-07-14T01:10:07Z
4154,1,4154,@master_yi puts/short $COUP $TSLA $UBER lyft $SHOP $AAPL in orders of most bearish to least. All have major down side. Far OTM End of July/August/Sept puts are cheap and attractive. Don’t go too big.,2020-07-14T00:51:37Z
4180,2,4180,@Lutar big money certainly pulled out the algorithm stops today to shock the market. Not shocking anymore since any kid with a brain can see the movement was the same across the popular RH stocks and realize its an Algo trader | $SPY $AAPL $WORK $NIO CALLS  :rocket: ,2020-07-13T23:53:20Z
4182,1,4182,$AAPL The rule of round numbers works like a charm. It hit 400 and went around  5% down! Nice wipeout of unhinged day traders.,2020-07-13T23:50:18Z
4226,2,4226,$AAPL bears messed up,2020-07-13T22:41:26Z
4228,2,4228,$AAPL introducing limited edition Apple short shorts.,2020-07-13T22:41:00Z
4263,2,4263,$SPY $aapl these are the kind of candles that make you go “lolz”,2020-07-13T21:55:07Z
4303,2,4303,$tsla $nio $amzn $aapl $WKHS dumb money top 5.,2020-07-13T21:09:16Z
4308,2,4308,$tsla $aapl $amzn $nflx $nio Robinhood chasers got crushed,2020-07-13T21:04:27Z
4395,2,4395,"$SPY $AAPL $AMZN $FB $TSLA  Start of a pullback today. Who is this: mentally ill coward, drinks water with both hands, wears double Depends, can&39;t walk straight, leans forward like a retard.",2020-07-13T20:07:48Z
4417,2,4417,$SPY Nice V-Rally setup into tomorrow  :flexed_biceps:  $QQQ $VIX $BA $AAPL,2020-07-13T20:01:45Z
4535,2,4535,$AAPL NAS reverses and all the bears come out. It will be back up tomorrow. Take your profits if you are short while you have them.,2020-07-13T19:11:11Z
4582,1,4582,"$SHOP $AMZN $AAPL Big Money pushing down to reload, smart play.I&39;ll play along",2020-07-13T18:42:54Z
4645,1,4645,$AAPL 385 is the gap so gtfo,2020-07-13T18:21:45Z
4671,1,4671,$AAPL panic selling at its finest,2020-07-13T18:14:45Z
4678,2,4678,$AAPL $TSLA $QQQ $AMZN  Looks like TSLA rang the bell at the top.,2020-07-13T18:13:18Z
4710,2,4710,$AAPL Any idea when would be $600 calls start ?,2020-07-13T18:03:47Z
4852,2,4852,$AAPL Oh my GOSH! What a great piece of news from Barron’s this weekend,2020-07-13T16:41:57Z
4880,2,4880,$AAPL who’s buying calls?,2020-07-13T16:31:57Z
4953,2,4953,$AAPL BAM! Taking full profits. Biggest profit taking for me on this monster from my weekend swing.LETS go!,2020-07-13T15:59:09Z
5034,1,5034,"@Modern_Investor VIX is tied to SPX options, SPX options and SPY movement/SPY options are running inverse. SPX traders are bearish vs SPY options being bullish.Massive covered call squeeze in $SPY just like $AAPL IMO.I had to cover in both today.",2020-07-13T15:26:49Z
5035,2,5035,Big break out soon $AAPL,2020-07-13T15:26:41Z
5055,2,5055,$AAPL $399  :flushed_face:   :money_bag: ,2020-07-13T15:22:35Z
5108,2,5108,$AAPL $450 by Friday,2020-07-13T15:13:33Z
5133,2,5133,$SPY ok i tap out. Im going all in $AAPL $AMZN $TSLA . Taking out a home equity line of credit and throwing in 100k.,2020-07-13T15:06:56Z
5135,2,5135,2 of our confirmed plans in classic PowerTriggerTrade  managment style has come in for use in $AAPL and $GOOGL watch out for the videos as I show you how I lead those serious for success step by step with skill year after year and we keep wining like I always explain every year,2020-07-13T15:05:26Z
5189,2,5189,They want you to think investing is hard and you cant do it yourself $AAPL $spy $QQQ Can you draw a line? You can trade.,2020-07-13T14:48:08Z
5218,2,5218,$AAPL Definitely breaks $400,2020-07-13T14:38:00Z
5242,2,5242,@Kornie7 @workflownavigator lol genius  :face_with_tears_of_joy:  you’re jsut not doing that? $AAPL 400 incoming!,2020-07-13T14:32:59Z
5262,2,5262,$MSFT needs to do $AAPL like things now. cmonnnnn,2020-07-13T14:29:04Z
5352,1,5352,$AAPL $415 calls for 7/17 Lets go to $400+ this week  :money_with_wings: ,2020-07-13T14:06:32Z
5486,2,5486,$AAPL I can’t imagine holding a short position on this over the weekend and waking up to this.  :face_with_tears_of_joy: ,2020-07-13T12:55:28Z
5500,1,5500,$AAPL this market is crazy.,2020-07-13T12:42:32Z
5543,2,5543,"$SPY $TGT $SBUX $UVXY $AAPL Don&39;t miss your Monday Must Knows with snippets from our Weekly Research Report inside today&39;s Daily Market Dispatch. Technicals, fundamentals, macro and more! [URL]",2020-07-13T11:41:15Z
5566,1,5566,$AAPL Apple upping MacBook Pro orders as working from home demand [URL] [URL],2020-07-13T10:44:30Z
5597,2,5597,$AAPL 387 right now sheesh,2020-07-13T06:25:00Z
5598,2,5598,$AAPL end of the year stock price predictions ?,2020-07-13T06:19:08Z
5660,2,5660,$AAPL bought some appl puts,2020-07-13T00:38:49Z
5666,2,5666,$AAPL iPhone is the F-150 of knowledge workers. I depend on this stupid thing for my job as do millions. That is something which deserves it’s multiple. What’s your loyalty to google? Facebook? Netflix? I have zero,2020-07-13T00:31:08Z
5703,2,5703,$SPY $SPAQ $AAPL $AMZN perma bears who constantly hope for the market to crumble can go to hell,2020-07-12T22:19:35Z
5733,2,5733,"Everyday I see $AAPL products on sales on $AMZN, granted they are older models, but you rarely see that before.",2020-07-12T19:26:55Z
5769,2,5769,$AAPL is doing really well. If you want to triple your money check out $EVFM! Booyah!,2020-07-12T16:21:31Z
5797,1,5797,"$TSLA Historic Coronavirus Rally of 2020 was a blessing for the stock market. Even when the world was suffering, dying, losing jobs, losing income, staying home in lockdown, stock market nasdaq went parabolic cuz coronavirus rally LOL $amzn $nflx $AAPL $GOOGL",2020-07-12T14:05:46Z
5836,2,5836,"$MSFT $AAPL $GOOG $AMZN $FB | in 2016 - the rage was President Trump did not serve in the military!  in 2020 - there is not a single peep about President Trump serving in the military, why you may ask?!  Joe Biden has asthma, and was excused from military services.",2020-07-12T04:50:58Z
5983,2,5983,$AAPL NEW ARTICLE : iPhone SE: Apple&39;s smallest iPhone isn&39;t actually that small. Here&39;s why that matters [URL],2020-07-11T13:05:06Z
6045,2,6045,$AAPL  $TSLA $SPACE,2020-07-11T01:15:05Z
6064,2,6064,$SPY $IWM $AAPL $VIX Do you think long bets on rho are part of the reason why options prices are still quite elevated? @OldFngGuy @OldFnGuy @aureliuscapital,2020-07-10T23:34:15Z
6104,2,6104,To think that it took $AAPL &amp; $MSFT nearly 30 years &amp; $AMZN 20 years to reach a trillion dollar market cap. Now it’s taking less than 2 years for them to almost hit the next trillion. Absolutely insane and this market is something else!,2020-07-10T21:13:53Z
6316,2,6316,$WFC …   :warning:  today proved once we have a vaccine  :syringe:  banks  :bank:  will rally hard &amp; outperform the general markets … which should be in fall Q3-4  :check_mark_button:  … maintain a barbell  :person_lifting_weights_light_skin_tone:  approach in the meantime  :key:   $SPY $JPM $BAC $AAPL,2020-07-10T16:59:38Z
6384,2,6384,$AAPL will she fall?,2020-07-10T16:04:53Z
6448,2,6448,$SPX squeeze $DJIA $AAPL so I can take a nap,2020-07-10T15:23:14Z
6461,2,6461,$SPY $AMZN $QQQ $MSFT $AAPL I would sell now before the final hour dump,2020-07-10T15:09:42Z
6473,1,6473,$SQQQ bought today. Not selling till 10. $AMZN $TSLA $MSFT $AAPL all time high.,2020-07-10T15:01:28Z
6492,2,6492,$AAPL 400$ strike July 24 $ TMT,2020-07-10T14:48:57Z
6508,2,6508,$SPY $AAPL $ROKU so quiet today except for $ROKU,2020-07-10T14:25:28Z
6545,2,6545,What a day. it’s Friday. sell away! $SPY $AAPL  :chart_decreasing:  :thumbs_up: ,2020-07-10T14:05:37Z
6674,2,6674,"$AAPL  The Rona magically disappears from the planet after the election. Biden is kept in the basement from the public because he has the onset on dementia. A viable vaccine isn’t announced until after november. The gestapo dems will do everything they can, along with their corrupt corporate media, to further crash the stock market regardless of who they hurt, no matter how many americans lose their jobs, lose their life to suicide, drug addiction, etc. Only thing to be bullish in is the stay at home stocks and Chinese stocks.",2020-07-10T12:34:09Z
6723,0,6723,$AAPL Japan Display aims to bring some panel production back from China after coronavirus [URL],2020-07-10T09:11:50Z
6781,2,6781,$AAPL $QQQ $NQ_F $NDX AAPL,2020-07-10T03:30:01Z
6880,1,6880,$AAPL Tomorrow open 385$ close 392$,2020-07-09T23:45:42Z
6963,1,6963,Top increases in  users holding for stocks held by Robinhood traders today:View the full list and history for all symbols on Robintrack: [URL] $NIO: +85482. $SPAQ: +81873. $AMZN: +76094. $MSFT: +67525. $AAPL: +65766. ALT: +60497. TSLA: +57088. BABA: +56349. LCA: +431010. NVDA: +3479,2020-07-09T21:01:36Z
7076,2,7076,More in $AAPL $SPY,2020-07-09T19:34:11Z
7101,0,7101,"Dow, S&amp;P 500 fall on fears over surging virus cases  $WBA $AMZN $MSFT $AAPL $CSCO [URL]",2020-07-09T19:20:00Z
7139,2,7139,$AAPL 4 hundo,2020-07-09T19:05:36Z
7218,2,7218,"$AAPL only 1.5T what are we, value investors?",2020-07-09T18:11:19Z
7226,1,7226,$SPX quick trade in futures. On that small bounce  $JPM $AAPL $TSLA,2020-07-09T18:04:49Z
7232,2,7232,$AMD $NVDA $AAPL Could be an issue for AMD in the long term if Apple decides to make its own graphics card: [URL],2020-07-09T18:01:57Z
7236,2,7236,$AAPL $SPY $DIA $QQQ I thought this was interesting: &quot;Apple Is Developing Its Own Graphics Cards- Report&quot;[URL],2020-07-09T17:58:32Z
7268,2,7268,$AAPL $GOOG $MSFT $FB $AMZN Mnuchin: Next stimulus bill must cap jobless benefits at 100 percent of previous incomeMarkets Melt-Up. Likely To Have This Stimulus Bill DONE by End Of Month. [URL],2020-07-09T17:32:02Z
7395,2,7395,No stopping these guys $AMZN $AAPL $MSFT,2020-07-09T15:46:12Z
7547,2,7547,$TSLA $NVDA $AMD $AAPL $SPY get that snake!,2020-07-09T14:25:56Z
7555,2,7555,"$SPY $AAPL hahahahah they dumping when Trump&39;s tax returns can be seen.why I don&39;t mind taking lots of money from bulls. bulls the most unethical people in the market.bears here to keep the bulls honest and call them on their bs.when the market falls cause the president has to release his taxes, such corruption",2020-07-09T14:19:40Z
7573,1,7573,$AAPL made a 3 wave pullback towards $338-$331 extreme area from where reaction higher took place Elliottwave Trading Apple,2020-07-09T14:02:42Z
7688,2,7688,$SPY $QQQ $AAPL -AAPL GREATEST AMERICAN BUSINESS EVER?,2020-07-09T12:48:42Z
7703,1,7703,Jobs report $AAPL $MSFT $SPY,2020-07-09T12:38:53Z
7728,2,7728,@Wurdmeister $AAPL should have bought Greeze when the opportunity arose,2020-07-09T12:05:17Z
7766,2,7766,"$AAPL $AAPL “You laugh at tiny middle class trolls”. I hope you know the middle class is the back bone of this country. You seem like the Wall-street bankers. Self absorbed, impulsive, and you don’t care who you hurt along the way in order to make a buck. There’s more to life then this shit. Number on a screen, it’s all fucking fake. Relationships with people are the best investment in life. Stop roasting younglings for the opinions when you could teach them or better yet do something with you life rather than say how right you are about everything and how much money you have.",2020-07-09T10:20:58Z
7796,2,7796,$SPY $WFC $AAPL $BA $WMT FYIUgly Q2 ER Season ahead- Estimated (YOY): -43.8%- Revenue: -12%1. Expect ER to be ugly but backwards looking2. ER will be more about commentary and plans for cost spending3. Politics will be potential driver for volatility.[URL],2020-07-09T06:57:01Z
7861,1,7861,"$AAPL $BABA $JMIA Best profitable trading chatroom. Up to 690% profit in an single of hour and amazing chatroom  for stocks trading, options trading, day and swing, we are opening our trading chatroom to the public!  Come learn, and get these gains with us:   bit.ly/2Z94cmR",2020-07-09T02:05:09Z
7865,2,7865,"$AAPL WHAT GOES UP ,WILL NEVER GO DOWN  EXCEPT ENRON",2020-07-09T01:57:17Z
7952,1,7952,$AAPL Need a pull back tommorow to add calls for earnings.,2020-07-08T23:01:17Z
8089,2,8089,$AAPL 400 EOY target. What do you think is going to happen in the months between? Hint: it’s at 381 currently.,2020-07-08T20:23:13Z
8126,1,8126,$AAPL more upgrades. everything in tech just levitates higher. You would have thought we were in a great economic expansion. Who&39;d of thought that really what the market needed was a recession. Lol you cant make this shit up. $SPY $QQQ,2020-07-08T20:03:07Z
8132,1,8132,$AAPL all time highs again,2020-07-08T20:00:31Z
8134,1,8134,Wed Jul 8thToday&39;s BEST performing sector:Technology +1.6%biggest 20 Technology stocks by mkt cap:1) $NVDA: +3.6%2) $NOW: +3.3%3) $TSM: +3.1%4) $ASML: +2.6%5) $AAPL: +2.3%.see all 20 here:[URL],2020-07-08T20:00:24Z
8167,1,8167,$AAPL added small in 4 accounts today.,2020-07-08T19:36:51Z
8192,1,8192,$AAPL Surprised about todays move.   Many stores are closed due to  Covid19 and Q2 for sure was not good.   I would not have expected such a big jump.    Without Apple markets would be negative today.,2020-07-08T19:10:33Z
8258,1,8258,$TSLA CNBC: Apple Maps driving activity is slowing again in warning sign for the economy $AAPL $SPY $UAL,2020-07-08T18:21:24Z
8283,2,8283,$AAPL $SPY Bull flag,2020-07-08T17:41:03Z
8295,2,8295,$SPY $QQQ $AAPL $MSFT $IWM WTF it’s some kind of a Bipolar day or something. make up your fucking mind where you wanna go!,2020-07-08T17:30:08Z
8300,2,8300,Stephen King was a writer for a show called DeadZone. In 2003. there was an episode that legit called the Coronavirus.  :face_with_tears_of_joy:  even said “Coronavirus” in the episode. &amp; more! You can’t make this shit up. please take 3 mins out of your day and watch this YouTube video and let me know what you think.  :thinking_face:   :thought_balloon:   :astonished_face:   :microbe:   :China:   :pill:  $SPY $AAPL $DOGE.X $NKLA $TSLA [URL],2020-07-08T17:22:12Z
8375,2,8375,$UVXY $AAPL $SPY Today it&39;s Apple&39;s turn to hold the SPY turd up. I&39;m watching Apple closely.,2020-07-08T16:14:23Z
8380,1,8380,$AAPL Right here bought PUTS.SUPER BEARISH ON THIS POS.,2020-07-08T16:10:37Z
8392,2,8392,"Agreed, actually you can make money thru the market regardless of the economy (well if you know how to do it :)  $AAPL $TSLA $AMZN $SPY $FB",2020-07-08T15:54:50Z
8459,2,8459,"@Stalkmarkie $FB $AAPL really? I’m Latin American, an immigrant, came to the US legally with nothing, and a minority. Since you’ve assumed that I’m a racist (which I’m not), I guess you’re as dumb as it gets drinking the Dem welfare kool-aid. Unless you become a rigged politician/businessperson like Nancy Pelosi, who makes $100k salary yet somehow manages to make millions every year (Brazilian-like corrupt commingling of public funds), good luck with your mediocre life “you sheep”  :thumbs_up_medium-light_skin_tone: ",2020-07-08T14:53:44Z
8472,2,8472,"$FB $AAPL Both going to 420 , USA tech giants , global leaders , buy both an hold for retirement",2020-07-08T14:46:43Z
8584,1,8584,$AAPL Shooting for new highs  :dollar_banknote:  :eyes: ,2020-07-08T13:43:42Z
8604,1,8604,Three things to know going into today.$WMT takes on $AMZN with $98/year delivery service - featuring perks like same day deliveryRuling in EU $AAPL $16B backed tax case due next Weds$BABA fintech arm Ant Group plans $200B Hong Kong [URL],2020-07-08T13:29:41Z
8623,2,8623,$SPY GOING TO BE A NICE GREEN DAY! BEARS WERE TRAPPED YESTERDAY! TIME TO V-RALLY! $QQQ $VIX $AAPL $AMZN,2020-07-08T12:58:18Z
8703,2,8703,$AAPL - Trade Apple and Turtle Beach… [URL] portfolio_prospective better_portfolio diversify,2020-07-08T08:39:10Z
8718,2,8718,$AAPL [URL],2020-07-08T05:59:03Z
8756,2,8756, :face_with_tears_of_joy:   :rolling_on_the_floor_laughing:   :grinning_face_with_sweat:   :rolling_on_the_floor_laughing:   :rolling_on_the_floor_laughing:   :rolling_on_the_floor_laughing:  it is the truth  $AAPL $TSLA $AMZN $SPY $FB,2020-07-08T02:10:34Z
8768,2,8768,$AAPL $DOGE.X  On the 4th of Never!,2020-07-08T00:59:30Z
