message,datetime,user,message_id
$AAPL good news all around,2020-07-19T05:05:16Z,2826617,229001615
$AAPL 450$,2020-07-19T05:05:03Z,2826617,229001607
$AAPL 10 contracts 385P 8/7 :oncoming_fist: ,2020-07-19T04:30:52Z,3782685,228999825
$AMZN $AAPL $GLD $ZM $MRNA olease get educated bulls. You will be hurting. Investing101 FB@risksavagewild 36 on F.I.R.E. watchthis [URL],2020-07-19T04:26:35Z,2909088,228999588
$AAPL $GOOG $GOOGL $TSLA $TWTR Make big profits with us. Our trading community 95% success rate Up to 450% profits in an hour and 110% in 15 minutes with 63k + members. It&39;s Free 20 day trial. L!nk in my pr0file-,2020-07-19T03:30:59Z,3810667,228996492
"$AAPL so based on 2019 earnings, looks like AAPL is trading at 31 PE, on 2020 estimates,P/E of 29, and on very aggressive 2021 earnings estimate forward P/E of 24. Seems overvalued, especially if they hidon&39;t these types of targets. I cant imagine they do in the middle of a pandemic.",2020-07-19T03:27:15Z,2809019,228996270
$AAPL $450 end of year however slow money .  Gamble Gamble Gamble I need a 400% er lol,2020-07-19T03:20:57Z,3742118,228995878
$AAPL New Video! Finding Support and Resistance. Come check it out and Subscribe for more content  [URL],2020-07-19T03:19:49Z,614596,228995791
$AZN SAVING THE WORLDWE GOT EGYPT SAFE  :Egypt:  $TSLA $AAPL $AMZN take those trust fund dollars and triple up saving the world with $AZN,2020-07-19T03:08:16Z,939452,228995038
$AAPL [URL] Don’t let this pass you by again,2020-07-19T03:04:33Z,3246177,228994787
"Perfect tag of the 1.618 fib level (pre corona high to bottom). Because literally everyone owns $AAPL (hedge funds, banks, individuals), when the panic ensues it’s a hell of a long way down. $SPY $QQQ",2020-07-19T02:48:40Z,3163981,228993743
$SPY $BA $AAPL $TSLA The battle of Jim vs Dwight aka left vs right aka bears vs bulls. Team Dwight,2020-07-19T02:24:33Z,3481824,228990640
"$NIO $TSLA $BA $AAPL proof in the pudding, $GS downgrade was simply a cheap shot at NIO’s prominence! See you Monday at $14.56  :hundred_points:  :rocket:  :partying_face:  :star-struck: ",2020-07-19T02:24:02Z,2876524,228990529
$TSLA $AAPL $BA $NFLX $MSFT wish it was Monday already never thought I&39;d dislike the weekneds more than the weekdays  :woozy_face: ,2020-07-19T02:08:05Z,2111668,228987340
$AAPL everyone enjoy the weekend. New highs Monday.,2020-07-19T01:38:17Z,1730533,228980824
$AAPL was analyzed by 26 analysts. The buy consensus is at 86%. So analysts seem to be very confident about $AAPL. [URL],2020-07-19T01:37:00Z,47688,228980541
Stocks Rebound Sharply - MCM 2Q&39;20 Investor Letter [URL] $tsla $aapl $msft $acad $MA,2020-07-19T01:28:22Z,945301,228978583
"$NIO $TSLA $BA $AAPL just in:  “FDA approves pooled testing for coronavirus”Positive virus news should take the overall market upward, including, yours truly, NIO [URL]",2020-07-19T01:23:25Z,2876524,228977490
$AAPL Apples and $RYCE.Its what you eat when you are sick of being broke.   Check out this for a Monday play.$RYCE  Big runner come Monday!  Huge Bull Flag at close Friday.,2020-07-19T01:17:10Z,3352973,228976114
$AAPL I still think this has potential to go up. [URL],2020-07-19T01:03:48Z,2229274,228973165
$AAPL novn about to be bought out get in Monday before,2020-07-19T00:57:39Z,3776213,228971793
$AAPL Technical reviews: Large potential play here; our subscribers will be alerted.,2020-07-19T00:53:02Z,3808501,228970776
"$AAPL can someone explain apple’s valuation to me without using the words limitless, sci-fi, and throw around buzzword like AR / VR potential when Facebook owns the best AR company. oculus that they bought for $2b.",2020-07-19T00:23:22Z,3769710,228963846
$AAPL $AMZN $AMD $NFLX $JPM  :eyes:  :face_with_hand_over_mouth: [URL],2020-07-19T00:03:54Z,2909088,228959217
$SPY $TSLA $AMD $AAPL $AMZN Bulls are going to  :pile_of_poo: pants.  :man_shrugging:  :rolling_on_the_floor_laughing:  :face_with_hand_over_mouth: [URL],2020-07-18T23:53:26Z,2909088,228956647
$AAPL Important Update  :warning: : Tomorrow will be Sunday. Another day the market will be closed. Do not attempt to make any trades as you will be very disappointed.,2020-07-18T23:40:10Z,3273554,228953347
$DJIA $AAPL $MSFT $FB I am thinking to go to 50% cash. But if anyone is bullish here please share your bullish thesis.,2020-07-18T23:18:06Z,1853570,228947329
"$AAPL Sentiment is highly positive right now. News mentions: positive (36), negative (1), neutral (14) Sentiment score: +1.304 (scale of -1.5 to +1.5) Stock alerts, news, and research tools at tradethehalt.com",2020-07-18T23:02:09Z,2942797,228942663
$BYND &lt;Get in partnership with KFC and earnings coming up $MRNA $TSLA $RIGL $AAPL,2020-07-18T22:56:22Z,1434885,228940909
DIGITAL CROWN has been filed for trademark by Apple Inc. [URL] DIGITALCROWN $AAPL DIGITAL CROWN,2020-07-18T22:53:09Z,2831538,228939904
"$NIO $TSLA $BA $AAPL I think we have stronger bullish momentum than EVER BEFORE!“NIO witnessed on July 18 its 50,000th mass-produced vehicle roll off the production line”[URL]",2020-07-18T22:50:55Z,2876524,228939154
$DJIA $AAPL $MSFT $FB other bearish factors: 1. stimulus ending in june 2. the ban on evictions ends in june 3. more unemployment 4. reopening is delayed 5. fed is trying to avoid inflation,2020-07-18T22:44:25Z,1853570,228936939
$AAPL Insane channel breakout.  Will not even think about shorting this until it falls back into the channel.  Weekly chart.,2020-07-18T22:27:00Z,1198948,228930618
Weekly Wrap: Retail Holds Its Own Without Amazon  $XRT $AMZN $RTH $AAPL $DPZ [URL],2020-07-18T22:21:49Z,2762379,228928679
$SPY Covid is real guys! I know politicians don’t care and they only care about economy and elections in November! $AAPL $MSFT $TSLA,2020-07-18T22:12:43Z,1387790,228925017
"$SPY $QQQ $AAPL $UVXY $TGT Every week we offer our near-term and long-term outlook for the market and economy. Last weekend&39;s Report we offered our the following, calling for new bear-to-bull market highs, which was achieved. You know where to get fact-driven analytics!",2020-07-18T22:06:31Z,812524,228922477
$SPY $AAPL ugh apple pen  :red_apple: ,2020-07-18T21:55:08Z,1100233,228917892
$AAPL hitting $395 Monday ? Thoughts?,2020-07-18T21:53:35Z,1398947,228917779
$AAPL Green Green Monday,2020-07-18T21:49:05Z,875697,228917299
$AAPL 270,2020-07-18T21:46:03Z,2130709,228916767
$AAPL are we going to see more than 400$,2020-07-18T21:30:36Z,1134077,228914152
$AAPL how high do u think it will make it ? 400$,2020-07-18T21:29:51Z,1134077,228914026
"$SPY $IWM $QQQ $AAPL $TSLA  Very nice tight consolidation on IWM says next move is a break higher. However, this week was expiration which is historically bullish and I expect next week to be bearish. If you are a Republican who will NOT vote for Trump, hit like.",2020-07-18T21:27:49Z,3729439,228913684
$DJIA $AAPL $MSFT $FB $amzn going back to 50% cash. cash is hedging  [URL],2020-07-18T21:24:59Z,1853570,228913176
$AAPL Important Update  :warning: : Tomorrow will be Sunday. Another day the market will be closed. Do not attempt to make any trades as you will be very disappointed.,2020-07-18T23:40:10Z,3273554,228953347
$DJIA $AAPL $MSFT $FB I am thinking to go to 50% cash. But if anyone is bullish here please share your bullish thesis.,2020-07-18T23:18:06Z,1853570,228947329
"$AAPL Sentiment is highly positive right now. News mentions: positive (36), negative (1), neutral (14) Sentiment score: +1.304 (scale of -1.5 to +1.5) Stock alerts, news, and research tools at tradethehalt.com",2020-07-18T23:02:09Z,2942797,228942663
$BYND &lt;Get in partnership with KFC and earnings coming up $MRNA $TSLA $RIGL $AAPL,2020-07-18T22:56:22Z,1434885,228940909
DIGITAL CROWN has been filed for trademark by Apple Inc. [URL] DIGITALCROWN $AAPL DIGITAL CROWN,2020-07-18T22:53:09Z,2831538,228939904
"$NIO $TSLA $BA $AAPL I think we have stronger bullish momentum than EVER BEFORE!“NIO witnessed on July 18 its 50,000th mass-produced vehicle roll off the production line”[URL]",2020-07-18T22:50:55Z,2876524,228939154
$SPY  $AAPL $MSFT $DKNG  :rolling_on_the_floor_laughing:  :man_shrugging:  :man_shrugging:  :man_shrugging: ,2020-07-18T22:45:52Z,236839,228937431
$DJIA $AAPL $MSFT $FB other bearish factors: 1. stimulus ending in june 2. the ban on evictions ends in june 3. more unemployment 4. reopening is delayed 5. fed is trying to avoid inflation,2020-07-18T22:44:25Z,1853570,228936939
$AAPL  $SPY Long.,2020-07-18T22:38:40Z,236839,228934928
$AAPL Insane channel breakout.  Will not even think about shorting this until it falls back into the channel.  Weekly chart.,2020-07-18T22:27:00Z,1198948,228930618
Weekly Wrap: Retail Holds Its Own Without Amazon  $XRT $AMZN $RTH $AAPL $DPZ [URL],2020-07-18T22:21:49Z,2762379,228928679
"$SPY $AAPL $MSFT $TSLA I tested positive Friday. Worst two days I’ve ever experienced. Brutal. I’m over the hump today but only about 60%. Not sure if my parents could make it through what I just went through. Don’t let them lie to you, this shit is real. And brutal.",2020-07-18T22:14:31Z,2000314,228925821
$SPY Covid is real guys! I know politicians don’t care and they only care about economy and elections in November! $AAPL $MSFT $TSLA,2020-07-18T22:12:43Z,1387790,228925017
"$SPY $QQQ $AAPL $UVXY $TGT Every week we offer our near-term and long-term outlook for the market and economy. Last weekend&39;s Report we offered our the following, calling for new bear-to-bull market highs, which was achieved. You know where to get fact-driven analytics!",2020-07-18T22:06:31Z,812524,228922477
$SPY $AAPL ugh apple pen  :red_apple: ,2020-07-18T21:55:08Z,1100233,228917892
$AAPL hitting $395 Monday ? Thoughts?,2020-07-18T21:53:35Z,1398947,228917779
$AAPL Green Green Monday,2020-07-18T21:49:05Z,875697,228917299
$AAPL 270,2020-07-18T21:46:03Z,2130709,228916767
$AAPL are we going to see more than 400$,2020-07-18T21:30:36Z,1134077,228914152
$AAPL how high do u think it will make it ? 400$,2020-07-18T21:29:51Z,1134077,228914026
"$SPY $IWM $QQQ $AAPL $TSLA  Very nice tight consolidation on IWM says next move is a break higher. However, this week was expiration which is historically bullish and I expect next week to be bearish. If you are a Republican who will NOT vote for Trump, hit like.",2020-07-18T21:27:49Z,3729439,228913684
$DJIA $AAPL $MSFT $FB $amzn going back to 50% cash. cash is hedging  [URL],2020-07-18T21:24:59Z,1853570,228913176
"$CMCSA $SPY $AAPL $GOOG $VIXQuant Trader here.this is when i get to say &quot;Wwowooww we put this alert in our community and everyone made 10000%&quot;. No.IB statement attached. Truth be told we made good $ on CMCSA, buying the spread for pennies realizing 600%+ with stock and options while risking very little.If you want to learn how to trade and become profitable you can follow along with me. I post all my trades so there isn&39;t any bullshit. You can find my story in my profile and what i hope to accomplish here by helping others learn how to trade and reach their financial freedom as well. It&39;s also free, no strings attached. And it&39;s free.I will be conducting another option and volatility analysis this weekend to discern market direction for the following week. The newsletter is free and you can find my email in my account to subscribe to the weekly and daily reports. I will also be putting together another playbook of my top 5-10 trades that i&39;ll be looking to enterCheers",2020-07-18T21:20:25Z,1563159,228912398
$NIO remember when Goldman told you to sell $AAPL ? Jokes on you if you listen to Goldman.,2020-07-18T21:20:22Z,3139648,228912383
$NVDA $AAPL Jamie Dimon&39;s warning for the U.S. economy — nobody knows what comes next [URL],2020-07-18T21:19:06Z,284016,228912149
"Sure. I’ll send you the instructions to take advantage to our StockTwits Premium Room that includes OP Wire &amp; our alerts. We trade $AAPL , $TSLA and many more - cheers",2020-07-18T21:18:59Z,619769,228912099
$SPY $TSLA $AAPL My first dedicated post on Point and Figure. I love these chart types and I hope you enjoy and learn a thing or two $STUDY [URL],2020-07-18T21:08:36Z,286743,228910184
"$SPAQ &quot;Fisker wants to become the $AAPL of the automotive world&quot;&quot;Imagine if $TSLA had done this. They have great design, but struggled mightily in manufacturing.&quot;[URL]",2020-07-18T21:07:25Z,245030,228909968
Your daily News digest for Apple Inc $AAPL [URL],2020-07-18T20:53:53Z,732840,228907622
$AAPL also the Dow is lagging. You know Trump wants to pump the Dow more than anything,2020-07-18T20:38:27Z,1559134,228906455
"$AAPL once we breakout, rolling profits to $BA Is the play. Nassive wedge breakout coming off the lows on daily chart. Massive consolidation. Enough for a $100-$150 pop",2020-07-18T20:37:51Z,1559134,228906416
$AAPL has a Profit Margin of 21.35%. This is amongst the best returns in the industry. [URL],2020-07-18T20:34:00Z,47688,228906133
$AAPL target next week?,2020-07-18T20:27:00Z,1577362,228905631
"$NIO $TSLA $BA $AAPL Yes indeed, we’re headed to the moon come Monday! Woo hoo!  :hundred_points:  :winking_face_with_tongue:  :partying_face:  :star-struck:  “NIO’s 50,000th mass-produced vehicle rolls off production line in Hefei”[URL]",2020-07-18T20:09:41Z,2876524,228904249
$AAPL gap up Monday.  Vaccine news. Stimulus news. Tech earnings! Lets go ATHs!,2020-07-18T19:57:37Z,1559134,228903315
"$AAPL $SPY $NVDA $TSM $AMD :backhand_index_pointing_right:  FYI Peer performance: SamsungSamsung Stock Down 3% after Company Announced Earnings Guidance for Q2 2020. Samsung made a Profit this quarter, but not from selling their Smartphones but rather from a Penalty Payment from Apple in a Display Dispute.Consolidated sales are said to be fallen more than 7% on-year to 52 trillion won.[URL]",2020-07-18T19:57:04Z,1165200,228903280
$AAPL Everyone has an iPhone. If you don’t you f up the group chat and then no one wants to be your friend. This is going to 400$+,2020-07-18T19:49:46Z,1085054,228902754
$AAPL IF YOU DONT UNDERSTAND FIBONACCI THE YOU WILL NOT UNDERSTAND WHY I CAME UP WITH MY ANALYSIS. DONT BE A DUMMY. YOU CAN CHANGE UR LIFE TO UNDERSTAND FIBONACCI. YOU UNDERSTAND?,2020-07-18T19:43:56Z,3525231,228902359
$AAPL MY FIBONACCI RETRACEMENT LEVEL IS SHOWING APPLE BACK TO 397 AND A HUGE GAP UP FEOM THERE. tothemoon,2020-07-18T19:42:41Z,3525231,228902273
$AAPL TECHNICAL CHARTS SHOWING GREAT SUPPORT APPLE IS ANALYZED TO RUN TO ATH THIS WEEK AS WE WILL SEE IT TOUCH 412 ON TUESDAY 7/22/20 YOU UNDERSTAND,2020-07-18T19:41:29Z,3525231,228902170
$XSPA look.there is no place testing is more important that the airport.we are the only ones that do it.that is all you really need to know.$TSLA $MSFT $AAPL,2020-07-18T19:25:00Z,2090632,228900982
$AAPL will crush earnings. big run up this week to mid 450’s. Demand is strong  :rocket:  :folded_hands_medium-light_skin_tone:  :folded_hands_medium-light_skin_tone: ,2020-07-18T19:20:31Z,1850583,228900642
$AAPL Apple Device Management Software Provider Jamf Will IPO Next Week [URL],2020-07-18T19:05:33Z,3395308,228899522
$AAPL NEW ARTICLE : Apple Device Management Software Provider Jamf Will IPO Next Week [URL],2020-07-18T18:59:06Z,1555408,228898951
"$SPY $AAPL $AMZN $FB $AMD Quant Trader here. $40k account finished just over +20% NAV since 6/1 inception. We gave some back after a remarkable rally, took profit on our short term trades, realized just over $3k from stock and option plays, reduced the risk ahead of Friday, and added almost +12% NAV this week. If you want to learn how to trade and become profitable you can follow along with me. I post all my trades so there isn&39;t any bullshit. You can find my story in my profile and what i hope to accomplish here by helping others learn how to trade and reach their financial freedom as well. It&39;s also free, no strings attached. And it&39;s free.I will be conducting another option and volatility analysis this weekend to discern market direction for the following week. The newsletter is free and you can find my email in my account to subscribe to the weekly and daily reports. I will also be putting together another playbook of my top 5-10 trades that i&39;ll be looking to enterCheers",2020-07-18T18:57:27Z,1563159,228898837
$AAPL hoping to eliminate risk to downside by gapping up monday on vaccine news and run up to tech earnings. I remain bullish. Support has held up nicely all week,2020-07-18T18:56:43Z,1559134,228898782
$AAPL needs a correction 200MA at $300. And people sit on fat profits. I’d buy below $350,2020-07-18T18:56:31Z,1210097,228898767
$AAPL needs to hold above 383. 1 cent crack below im selling and buying back 375-380.,2020-07-18T18:55:51Z,1559134,228898719
$AAPL $400 this week EASY. drop after earnings,2020-07-18T18:54:48Z,3493874,228898636
"$AAPL our 1H view presented July 14 for our members @  [URL] AAPL set a near term high at the peak and is pulling back.  AAPL is favoured to extend higher still after this correction is complete.  But it is getting late in the cycle from March 2020 low, a larger degree correction may take place in the months ahead.  Elliottwave Robinhood trading",2020-07-18T18:42:41Z,440416,228897716
"$AAPL our 4H view presented July 9 for our members @  [URL] AAPL was getting stretched in the cycle from June 29 low, and we were looking for a pullback to take place. Elliottwave Robinhood trading",2020-07-18T18:42:21Z,440416,228897698
$DJIA $AAPL $MSFT $FB no one knows in the market  [URL],2020-07-18T18:37:20Z,1853570,228897302
$SPY $AAPL $NKLA $TSLA $PLUG  FYI.  S&amp;P 500 PE ratio now: the highest ever,2020-07-18T18:25:54Z,1165200,228896408
$AAPL $AMZN $FB $MSFT $GOOG Over 25 million Americans are set to lose the $600 unemployment boost next week&amp;Mortgage Delinquencies Skyrocket to Highest Level in 21 Years&amp;Fed REPO Calendar Has Repo Operations Going On Everyday Next Week. What A Coincidence So Expect Markets To Go Higher Next [URL],2020-07-18T18:22:58Z,900651,228896215
$AMD $AMD $AAPL $F $MSFT $TSLA20 Most Active Stock OptionsAMD Jul 55 Call Apple Jul 390 Call Apple Jul 385 Put Apple Jul 385 Call Ford Motor Aug 5 Put Microsoft Jul 205 Call Netflix Jul 500 Call Tesla Motor Jul 1500 Put Tesla Motor Jul 1600 Call Facebook Jul 245 Call Tesla Motor Jul 1550 Call Facebook Jul 240 Call AstraZeneca Jul 60 CallMicronT Jul 50 Call Boeing Jul 180 Call Apple Jul 380 Put Tesla Motor Jul 1500 Call Tesla Motor Jul 1520 Call Kraft Heinz Jul 35 Call MicronT Jul 50 Put Try thebubbleboard.comClick belowMake your own watchlistYour eyes will thank you [URL],2020-07-18T18:18:37Z,18805,228895889
"$SPY $QQQ when your friend bet on you and he say he do same contracts and opposite of my play. So I bought 100 contracts of $AAPL Puts 7/24 exp awhile I though he bought 100 contracts of calls. he lie and only bought 5 contracts. Fml.  meanwhile next week big company earning  that can push market up and $AZN virus news. is my puts doom? Because I sold my calls for a lost and bought puts ! All these croaks , manipulation, MM got me mad as hell",2020-07-18T18:16:48Z,3002146,228895736
Most profitable trading chatroom. Make as much as you want . Best trading community: stocktwits.com/RitaSoto/message/228890829$UVXY $TSLA $AAPL $MSFT $BABA,2020-07-18T18:16:18Z,3680309,228895701
$AAPL 500 EOW?  :money-mouth_face: ,2020-07-18T18:08:46Z,2826617,228895139
$AAPL $500+ soon.,2020-07-18T18:04:55Z,2154509,228894862
$AAPL Update: Today is Saturday. The market is closed.,2020-07-18T18:04:41Z,3273554,228894849
Konnektivität der $AAPL Watch mit dem Sensor „Runn” angekündigt [URL],2020-07-18T17:57:32Z,1765977,228894311
Weekly and monthly recap 100% accuracy on options (Calls/PUTs) didn’t have to wait to hit the strike price take on profits  $AAPL $BABA $W $SPY $UPS,2020-07-18T17:42:11Z,842698,228893028
$AAPL Jesus who’s buying at this price can someone explain ?,2020-07-18T17:40:40Z,3769710,228892868
$SPAQ Fisker wants to become the $AAPL of the automotive world. [URL],2020-07-18T17:39:26Z,1060061,228892749
$AAPL $AMZN $FB $MSFT $GOOG &quot;Shares of small-cap companies that don’t make any money have been rising twice as fast as those that are profitable. Fed policies “are daring investors to buy the riskiest assets they can - and they’re taking them up on it.” When price discovery dies &amp; Fed floods the &quot;system with cash&quot; money-losers outperform profitable companies &amp; have so since MARCH BOTTOM (when the Fed stepped in w/Brrrr),2020-07-18T17:39:16Z,900651,228892728
$UNH Even during this weeks choppy markets our analysts absolutely crushed it!  Below a short summary of this weeks best:$MRNA 85C @ 0.85 - 10.00 $DPZ 1540C @ 1.00 - 9.00$AAPL 380P @ 1.70 - 7.40 $GPS 11C  @ 0.46 - 1.42$MRNA 90P @ 0.17 - 0.49$UNH 310C  @ 0.80 - 2.10,2020-07-18T17:26:40Z,3516279,228891432
$GPS Even during this weeks choppy markets our analysts absolutely crushed it!  Below a small summary of this weeks best:$MRNA 85C @ 0.85 - 10.00 $DPZ 1540C @ 1.00 - 9.00$AAPL 380P @ 1.70 - 7.40 $GPS 11C  @ 0.46 - 1.42$MRNA 90P @ 0.17 - 0.49$UNH 310C  @ 0.80 - 2.10,2020-07-18T17:26:06Z,3516279,228891367
$DPZ Even during this weeks choppy markets our analysts again absolutely crushed it!  Below our latest summary of this weeks best:$MRNA 85C @ 0.85 - 10.00 $DPZ 1540C @ 1.00 - 9.00$AAPL 380P @ 1.70 - 7.40 $GPS 11C  @ 0.46 - 1.42$MRNA 90P @ 0.17 - 0.49$UNH 310C  @ 0.80 - 2.10,2020-07-18T17:25:24Z,3516279,228891295
$MRNA Even during these choppy markets our analysts once again absolutely crushed it!  Below our latest summary of this weeks best:$MRNA 85C @ 0.85 - 10.00 $DPZ 1540C @ 1.00 - 9.00$AAPL 380P @ 1.70 - 7.40 $GPS 11C  @ 0.46 - 1.42$MRNA 90P @ 0.17 - 0.49$UNH 310C  @ 0.80 - 2.10,2020-07-18T17:24:46Z,3516279,228891219
$AAPL Even during this weeks choppy markets our analysts once again absolutely crushed it!  Below our latest summary of this weeks best:$MRNA 85C @ 0.85 - 10.00 $DPZ 1540C @ 1.00 - 9.00$AAPL 380P @ 1.70 - 7.40 $GPS 11C  @ 0.46 - 1.42$MRNA 90P @ 0.17 - 0.49$UNH 310C  @ 0.80 - 2.10,2020-07-18T17:24:09Z,3516279,228891156
$AAPL 1W chart look at consolidation break out next week some positive news boom,2020-07-18T17:23:10Z,1299488,228891052
$DJIA $aapl $msft $fb what will make the stock market to burst? 1. high unemployment? 2. bad earning? 3. more covid cases? 4. prolonged covid season till 2021?,2020-07-18T17:21:28Z,1853570,228890879
"$AAPL $AMZN $FB $MSFT $GOOG “The Fed will not just emphasize actual inflation over forecasted inflation, but will also attempt to PUSH the inflate rate ABOVE its 2% target. It’s a whole new ballgame.”Inflations come from two acts by the government; Too Much Spending &amp; Too Much Printing Of DollarsShould Not Be Surprised That The 1st Inflated Sector Is Groceries Then Starts To Rear It&39;s Head In All Other Sectors. Inflate Away Debt?[URL]",2020-07-18T17:10:10Z,900651,228889642
$ROKU $TSLA $NFLX $AAPL   if newsom didnt open his fucking mouth we should be in the tech stocks at  all time high  and $roku should be trading at 175 . his winery  was one of the last places to close i wonder why ?,2020-07-18T17:06:33Z,515389,228889275
"$NIO $AAPL $BA $MSFT Guess what guys?! Like $TSLA, NIO also has charging stations all over China  :hundred_points:  See you at $30  :flexed_biceps_medium-light_skin_tone:  :rocket: ",2020-07-18T16:57:02Z,2876524,228888246
$AAPL On daily chart MACD has crossed down and $AAPL has been in an uptrend for quite long time. We have been away from the 21sma test as well. $AAPL weekly chart above shows a doji (red) candle in place so for bullish move we need post $401 to make new highs. The 50% weekly retracement from low to the highs is around $307 and is too far away for now. I am leaning more to bearish side on $AAPL because of the run it had so far and I would be using $380 as the trigger for adding some puts for first test of the 21sma after a long time around the $371 area. I would be looking at 07/24 $375 puts only if we get the trigger on below the $380 area till then no trigger no trade. Weekly chart also shows we are far away from the 10 weekly avg of $345 and seems extended here due to the parabolic run it had from $212 March lows to $401. I am not taking any long trades on $AAPL here though unless $401 is cleared on the higher end and this bull run continues.,2020-07-18T16:46:24Z,1849877,228887076
$AAPL the breakout is coming,2020-07-18T16:39:34Z,621135,228886357
"$NIO $TSLA $BA $AAPL Super bullish news on GRAND OPENINGS coming out of China: “NIO’s general manager of the Shanxi area confirmed that several NIO dealers will open in August across various Chinese provinces, including, Linfen, Yuncheng, Changzhi, among others.”Set it and forget it!",2020-07-18T16:38:14Z,2876524,228886205
